record - leader,001,008,035,040,System Control Number,245,Title Information,260,Publication Information,310,Current Publication Frequency,336,337,338,653,650,710,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
00755nas a2200229 u 4500,9992387159101480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993107466701471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993107466701471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aOnderonsje$ $ $bContactblad voor familieleden en kennissen van de Belgische salvatorianen,Onderonsje,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT),^$2$ $aSalvatorianen$ $ $4edt,^$ $1$c1976-2002^$ $1$aHamont$ $ $bInter Nos$ $ $31987-2002^$ $1$aHeverlee$ $ $bInter Nos$ $ $31976-1987,^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,^$ $ $aOndertitel varieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Contactblad voor familieleden en kennissen van de Belgische salvatorianen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00651nas a2200205 u 4500,9992387159501480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993107467801471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993107467801471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aKontaktblad,Kontaktblad,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aACV. Verbond Brugge$ $ $4edt,^$ $1$c1978-[1980]^$ $1$aBrugge$ $ $bACV-Jongeren Brugge$ $ $31979-[1980],^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00793nas a2200217 u 4500,9992387159701480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993107468301471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993107468301471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aInformatief$ $ $bDitjes en datjes van en voor het CM-personeel,Informatief,,,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amutualiteiten$ $ $6(ODIS-TW)2447,^$2$ $aCM$ $ $gChristelijke Mutualiteit$ $ $4edt,^$ $1$c[1978]-[1982]^$ $1$aBrugge$ $ $bBond der Ziekenkassen van het Arrondissement Brugge$ $ $3[1978]-[1982],^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ditjes en datjes van en voor het CM-personeel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas a2200193 u 4500,9992388156401480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993111238801471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993111238801471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aConféderation,Conféderation,,,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,^$ $1$c1978-[1979]^$ $1$aBruxelles$ $ $bConfédération des Médecins Belges$ $ $31978-[1979],^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00629nas a2200193 u 4500,9992388156501480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993111240601471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993111240601471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aKonfederatie,Konfederatie,,,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,^$ $1$c1978-[1982]^$ $1$aBrussel$ $ $bKonfederatie der Belgische Geneesheren$ $ $31978-[1982],^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00618nas a2200205 u 4500,9992388757001480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993115317401471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993115317401471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aAvis au clergé,Avis au clergé,,,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),"^$2$ $aLiège, diocèse$ $ $4oth",^$ $1$c[1976]-[1978]^$ $1$aLiège$ $ $bSecretariat Evêché$ $ $3[1976]-[1978],^$ $ $aKADOC$ $ $bphysical$ $ $c202106$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00913nas  2200265u  4500,9992388759301480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)000848013LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)998480130101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aBon nouvel$ $ $613053046,Bon nouvel$ $ $613053046,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KUL$ $ $a#ABIB:aleo^$ $7$2KUL$ $ $a#TS:ABIB^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aontwikkelingssamenwerking$ $ $6(ODIS-TW)1463^$ $7$2KADOC$ $ $aderdewereldbeweging$ $ $6(ODIS-TW)2713^$ $7$2KADOC$ $ $aHaïti [land in werelddeel Amerika]$ $ $6(ODIS-GEO)40240023001475,^$2$ $aPROTOS Gent$ $ $4edt,^$ $1$c[1977]-[1987]^$ $1$aGent$ $ $bPROTOS$ $ $3[1977]-[1987],^$ $ $aKADOC$ $ $bphysical$ $ $c202109$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00583nas a2200193 u 4500,9992388959401480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993115656301471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993115656301471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aLettre de la Théophanie,Lettre de la Théophanie,,,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $1$c1977-[1986]^$ $1$aLagrasse$ $ $bAbbaye Ste Marie d'Orbieu$ $ $31977-[1986],^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00849nas a2200229 u 4500,9992389059301480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993115436001471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993115436001471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aContact,Contact,,,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656^$ $7$2KADOC$ $ $amijnwerkers$ $ $6(ODIS-TW)1301,^$2$ $aConfédération générale des syndicats chrétiens et libres de Belgique$ $ $4oth,^$ $1$c[1977]-[1978]^$ $1$aCharleroi$ $ $bCentrale Francs Mineurs. Bassins du Hainaut et de Liège$ $ $3[1977]-[1978],^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00786nas a2200229 u 4500,9992389059501480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993115436401471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993115436401471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aKontakt,Kontakt,,,^$ $ $aIrregular,Irregular,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amijnwerkers$ $ $6(ODIS-TW)1301^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,^$2$ $aACV$ $ $gAlgemeen Christelijk vakverbond$ $ $4oth,^$ $1$c[1976]-[1978]^$ $1$aBrussel$ $ $bCentrale der Vrije Mijnwerkers$ $ $3[1976]-[1978],^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00743nas a2200217 u 4500,9992389059601480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993115437801471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993115437801471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aKontakt. Gepensioneerden,Kontakt. Gepensioneerden,,,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656^$ $7$2KADOC$ $ $amijnwerkers$ $ $6(ODIS-TW)1301,,^$ $1$c[1978]-[1983]^$ $1$aBrussel$ $ $bCentrale der Vrije Mijnwerkers$ $ $3[1978]-[1983],^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00906nas a2200265 u 4500,9992391559401480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993139061701471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993139061701471$ $ $bLanguage of cataloging varies$ $ $erda based,,,"^$0$0$aJovem, vem e segue-me$ $ $bÓrgão Oficial das Irmãs Vicentinas","Jovem, vem e segue-me",,,^$ $ $aBimonthly$ $ $b1976-1978^$ $ $aQuarterly$ $ $b1979,Bimonthly$ $ $b1976-1978Quarterly$ $ $b1979,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aprovincie (x)^$ $7$2KADOC$ $ $amissiecongregaties$ $ $6(ODIS-TW)2441^$ $7$2KADOC$ $ $akloosterwezen$ $ $6(ODIS-TW)1079,^$2$ $aZusters Sint-Vincentius a Paulo Gijzegem$ $ $4add,^$ $1$c1976-^$ $1$aCampo Grande-MS :$ $ $bIrmãs Vicentinas$ $ $31976-[1979],^$ $ $aKADOC$ $ $bphysical$ $ $c202106$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $apor,,,,,,,
,,,,,,,Órgão Oficial das Irmãs Vicentinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00796nas a2200229 u 4500,9992391559901480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993139063701471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993139063701471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aGrandir,Grandir,,,^$ $ $aIrregular,Irregular,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aCongo [historische term land Congo -CG]$ $ $6(ODIS-GEO)40240023003539^$ $7$2KADOC$ $ $amissieactie$ $ $6(ODIS-TW)1321,^$2$ $aZusters H. Vincentius à Paulo$ $ $4oth,^$ $1$c[1977]-[2010]^$ $1$aLukula$ $ $bSoeurs Servantes des Pauvres. Province du Zaire$ $ $3[1977]-[2010],^$ $ $aKADOC$ $ $bphysical$ $ $c202106$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01068nas a2200265 u 4500,9992392859801480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993149896601471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993149896601471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aContact,Contact,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alevensbeschouwing$ $ $6(ODIS-TW)2799^$ $7$2KADOC$ $ $amissiecongregaties$ $ $6(ODIS-TW)2441^$ $7$2KADOC$ $ $aPriesters van het Heilig Hart (1877-heden)$ $ $6(ODIS-ORG)10578,^$2$ $aPriesters van het Heilig Hart van Jezus$ $ $4edt,^$ $1$c[1976]-[2010]^$ $1$aBruxelles$ $ $bProcure des missions S.C.J. - Prêtres du Sacré-Coeur$ $ $3[1976]-[2004],^$ $ $aKADOC$ $ $bphysical$ $ $c202107$ $ $9local,,,,,^$ $ $aFranstalige editie van: Kontakt. Driemaandelijks tijdschrift Missieprokuur Priesters van het H. Hart,^$1$8$w(BeLVLBS)001006418LBS01-Aleph$ $ $tMissieprokuur SCJ. Kontakt$ $ $4775,,,,,,,,,,,,,,,,,,,,,,,,,
00778nas a2200193 u 4500,9992396155801480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993160868701471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993160868701471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aReymeers periodiek$ $ $bkontaktblad voor het personeel de patiënten hun familie en sympathisanten van het Psychiatrisch Ziekenhuis Zoete Nood Gods Zusters Maricolen - Lede,Reymeers periodiek,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,^$ $1$c1976-[1977]^$ $1$a[plaats van uitgave onbekend]$ $ $bSimiles$ $ $31976-[1977],^$ $ $aKADOC$ $ $bphysical$ $ $c202107$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kontaktblad voor het personeel de patiënten hun familie en sympathisanten van het Psychiatrisch Ziekenhuis Zoete Nood Gods Zusters Maricolen - Lede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00596nas a2200193 u 4500,9992398360001480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993168534601471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993168534601471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aKVS Lukas. Studentenblad,KVS Lukas. Studentenblad,,,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)",,^$ $1$c1979-?^$ $1$aBrussel$ $ $bHoger Sint-Lukasinstituut$ $ $31979-?,^$ $ $aKADOC$ $ $bphysical$ $ $c202108$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00820nas a2200241 u 4500,9992398959501480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993170754301471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993170754301471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aDon Bosco WSL,Don Bosco WSL,,,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $akatholiek onderwijs$ $ $6(ODIS-TW)987^$ $7$2KADOC$ $ $aschoolleven$ $ $6(ODIS-TW)1813^$ $7$2KADOC$ $ $alevensbeschouwing$ $ $6(ODIS-TW)2799","^$2$ $aSalesianen van Don Bosco,$ $ $cBrussel$ $ $4oth",^$ $1$c[1977]-[1979]^$ $1$aWoluwe Saint-Pierre$ $ $bDon Bosco WSL$ $ $3[1977]-[1979],^$ $ $aKADOC$ $ $bphysical$ $ $c202108$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00798nas a2200229 u 4500,9992398960201480,940606q19791992be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993170755201471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993170755201471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aEducation et libération,Education et libération,,,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijzend personeel$ $ $6(ODIS-TW)1437^$ $7$2KADOC$ $ $aCongo [historische term land Congo -CG]$ $ $6(ODIS-GEO)40240023003539^$ $7$2KADOC$ $ $akatholiek onderwijs$ $ $6(ODIS-TW)987",,^$ $1$c[1979]-[1980]^$ $1$aKananga$ $ $bEducateurs chrétiens,^$ $ $aKADOC$ $ $bphysical$ $ $c202108$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00787nas a2200241 u 4500,9992399259201480,210903d19772009fr b| p r     000 ||fre d,^$ $ $a(BeLVLBS)9993172756501471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993172756501471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aAristide Infos,Aristide Infos,,,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aJeunesse Etudiante Catholique (1928-)$ $ $6(ODIS-ORG)14576^$ $7$2KADOC$ $ $astudentenbeweging$ $ $6(ODIS-TW)2545,^$2$ $aJeunesse étudiante catholique$ $ $4rpy,^$ $1$c1977-2009^$ $1$aParis$ $ $bJeunesse Etudiante Chrétienne,^$ $ $aKADOC$ $ $bphysical$ $ $c202109$ $ $9local,,,,,,,,,,,,^$ $ $a0154-8042,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00758nas a2200217 u 4500,9992399855601480,210903d19772009fr b| p r     000 ||fre d,^$ $ $a(BeLVLBS)9993173233601471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993173233601471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aContact. Pensionnés,Contact. Pensionnés,,,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656^$ $7$2KADOC$ $ $amijnwerkers$ $ $6(ODIS-TW)1301,,^$ $1$c[1979]-[1980]^$ $1$aBruxelles$ $ $bCentrale des Francs Mineurs. Secrétariat National$ $ $3[1979]-[1980],^$ $ $aKADOC$ $ $bphysical$ $ $c202105$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00861nas a2200241 u 4500,9992399960201480,210903d19772009fr b| p r     000 ||fre d,^$ $ $a(BeLVLBS)9993172543901471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993172543901471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aKontaktblad 'Op stap',Kontaktblad 'Op stap',,,^$ $ $aOther$ $ $bvijf keer per jaar,Other$ $ $bvijf keer per jaar,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asport en ontspanning$ $ $6(ODIS-TW)2807^$ $7$2KADOC$ $ $atoerisme$ $ $6(ODIS-TW)2013^$ $7$2KADOC$ $ $achristelijke arbeidersbeweging$ $ $6(ODIS-TW)2684,^$2$ $aVakantiegenoegens$ $ $4oth,^$ $1$c1978-[1980]^$ $1$aKortrijk$ $ $bWandelclub Vakantiegenoegens$ $ $31978-[1980],^$ $ $aKADOC$ $ $bphysical$ $ $c202109$ $ $9local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00846nas  2200265u  4500,9992400959801480,830421q19781996be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)000385221LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993852210101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aBareel$ $ $bdriemaandelijks tijdschrift over migranten$ $ $6203070,Bareel,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KHK$ $ $a$a364$ $ $9UDC$ $ $4KHKG,,^$ $1$c1978-[1996]^$ $1$aBrussel$ $ $bBareel$ $ $31978-[1996],^$ $ $aKADOC$ $ $bphysical$ $ $c202109$ $ $9local,,^$ $ $aPublicatie stopgezet,,,^$ $ $aOndertitel varieert,,,,,,,^$ $ $a0773-5618,,,"^$ $ $aH19.04$ $ $xSociologie. Sociaal beleid$ $ $ySociology. Social policy, social welfare",,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,driemaandelijks tijdschrift over migranten$ $ $6203070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01144nas a2200337 u 4500,9992401159601480,830421q19781996be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)9993176836401471^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9993176836401471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aMededelingen$ $ $bLe Carrefour,Mededelingen,,,^$ $ $aSemiannual,Semiannual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aretraites$ $ $6(ODIS-TW)1753^$ $7$2KADOC$ $ $abezinning$ $ $6(ODIS-TW)289^$ $7$2KADOC$ $ $areligieuze vorming$ $ $6(ODIS-TW)1741,^$2$ $aInternationaal Ontmoetingscentrum Le Carrefour$ $ $4oth^$2$ $aMontfortanen. Belgische provincie$ $ $4oth^$2$ $aDaughters of Wisdom$ $ $4oth^$2$ $aBroeders van Sint-Gabriël in België en Kongo$ $ $4oth,^$ $1$c[1979]^$ $1$aSprimont-Louveigné$ $ $bLe Carrefour$ $ $3[1979],^$ $ $aKADOC$ $ $bphysical$ $ $c202109$ $ $9local,,,,,,,,,"^$1$ $aVermeulen, Frans$ $ $4edt^$1$ $aJeukens, Hendrika$ $ $4edt^$1$ $aVekeman, Eugène$ $ $4edt^$1$ $aGorissen, Francine$ $ $4edt",,,,,,,,,,,,,,,^$ $ $adut,,,,,,,
,,,,,,,Le Carrefour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
